1;2917;2519;90;1;646421.00
2;819;2416;58;1;311338.00
3;4558;36;207;1;910073.00
4;2644;789;40;1;664403.00
5;423;182;107;1;355251.00
6;3864;4658;210;1;257777.00
7;922;1618;105;1;371448.00
8;2633;4713;113;1;931082.00
9;4250;1946;51;1;797378.00
10;2959;724;189;1;949976.00
11;69;2347;47;2;184090.00
12;26;4380;89;2;972080.00
13;4727;4651;38;2;848889.00
14;3785;1830;5;2;724031.00
15;2646;1437;189;2;824487.00
16;3587;2973;167;2;237372.00
17;3846;2829;136;2;213371.00
18;1488;4757;79;2;155143.00
19;3462;1575;36;2;700626.00
20;34;1932;57;2;735727.00
21;2753;2520;89;2;587674.00
22;4368;804;21;3;374986.00
23;3118;2207;38;3;45838.00
24;4683;4958;52;3;617946.00
25;692;2522;160;3;933808.00
26;4445;4956;180;3;763971.00
27;2265;2015;138;3;403188.00
28;377;865;172;3;859375.00
29;1107;686;59;3;139693.00
30;4610;673;62;3;653640.00
31;365;4339;44;3;278687.00
32;290;4247;167;3;190797.00
33;4597;312;156;3;845114.00
34;2879;2211;172;3;135251.00
35;4939;2904;159;3;96238.00
36;1756;3201;210;4;584424.00
37;162;1278;160;4;446440.00
38;3936;2017;210;5;213284.00
39;4865;1974;9;5;468393.00
40;1295;2073;13;5;172794.00
41;4479;244;83;5;581774.00
42;2100;2204;123;5;605356.00
43;1454;2467;209;5;263393.00
44;851;3106;143;6;958859.00
45;3668;2482;173;6;895406.00
46;2857;3060;131;6;503088.00
47;2842;3994;69;7;690134.00
48;1322;3359;200;7;173468.00
49;134;2306;148;7;170976.00
50;2230;2325;211;7;611030.00
51;1733;2445;185;7;61134.00
52;1851;125;206;7;179344.00
53;3383;1404;175;7;435171.00
54;2183;3132;7;7;951310.00
55;3570;4309;200;7;332327.00
56;4100;3500;7;7;931089.00
57;1840;65;101;8;324754.00
58;786;908;189;8;903065.00
59;3209;405;70;8;506619.00
60;4300;1128;166;8;595215.00
61;1640;3742;182;8;26509.00
62;1115;1777;110;8;90413.00
63;3917;2289;93;8;787661.00
64;3920;3990;44;8;151240.00
65;1675;4274;96;9;133129.00
66;723;1686;214;9;959019.00
67;1823;2165;103;9;153993.00
68;4086;1302;60;9;332834.00
69;2686;4071;125;9;12342.00
70;3364;1458;108;9;136925.00
71;1243;4419;113;9;970277.00
72;4725;3243;108;9;429817.00
73;2838;3769;65;9;964577.00
74;4623;4959;127;10;240126.00
