1;WCVsavings0;savings for client 5;2016-02-12 20:57:14;1386538.00;2497.000;NULL;5;3;Strategy3;3611990.00;15945.000;199172.000
2;XFIaccount1;account for client 22;2016-02-12 20:57:14;46096689.00;97086.000;NULL;22;6;Strategy5;6963333.00;74238.000;72991.000
3;UBSretirement2;retirement for client 1;2016-02-12 20:57:14;70690965.00;46370.000;NULL;1;4;FixedIncome;2437692.00;6522.000;94393.000
4;XFIretirement3;retirement for client 33;2016-02-12 20:57:14;55058483.00;15651.000;NULL;33;3;Strategy2;3850092.00;34621.000;100698.000
5;XFIretirement4;retirement for client 41;2016-02-12 20:57:14;52189889.00;42311.000;NULL;41;4;Strategy5;7951451.00;68036.000;66805.000
6;MRLsavings5;savings for client 41;2016-02-12 20:57:14;7249961.00;55970.000;NULL;41;9;Strategy7;9719567.00;42310.000;118293.000
7;MRGaccount6;account for client 28;2016-02-12 20:57:14;16627056.00;82853.000;NULL;28;1;FI;2021565.00;86451.000;89154.000
8;WCVsavings7;savings for client 16;2016-02-12 20:57:14;24270236.00;93783.000;NULL;16;3;Strategy7;5087278.00;88330.000;68025.000
9;UBSaccount8;account for client 3;2016-02-12 20:57:14;32713030.00;80239.000;NULL;3;1;EquityIndex;3911597.00;43451.000;187425.000
10;UBSgrowth9;growth for client 19;2016-02-12 20:57:14;88991841.00;80877.000;NULL;19;0;Strategy5;5512650.00;6417.000;16674.000
11;UBSaccount10;account for client 26;2016-02-12 20:57:15;95755246.00;18948.000;NULL;26;8;PRDT-Product2;6488321.00;56624.000;42605.000
12;UBSsavings11;savings for client 5;2016-02-12 20:57:15;36114645.00;39344.000;NULL;5;4;PRDT-Product2;9616960.00;36401.000;80041.000
13;WCVsavings12;savings for client 17;2016-02-12 20:57:15;7704632.00;12322.000;NULL;17;3;E1;2704857.00;69719.000;49156.000
14;WCVgrowth13;growth for client 19;2016-02-12 20:57:15;11485168.00;46035.000;NULL;19;1;Strategy5;5380117.00;72961.000;134351.000
15;MRGsavings14;savings for client 19;2016-02-12 20:57:15;4175754.00;47566.000;NULL;19;4;E2;6722007.00;58759.000;191203.000
16;MRGsavings15;savings for client 15;2016-02-12 20:57:15;30115333.00;56606.000;NULL;15;2;Strategy6;1226463.00;84095.000;83094.000
17;MRGsavings16;savings for client 6;2016-02-12 20:57:15;51878871.00;78090.000;NULL;6;7;PRDT-Product2;1598371.00;76293.000;69607.000
18;MRGaccount17;account for client 8;2016-02-12 20:57:15;16668363.00;81005.000;NULL;8;2;PRDT-Product2;9863376.00;52707.000;161323.000
19;MRGretirement18;retirement for client 32;2016-02-12 20:57:15;42223920.00;70667.000;NULL;32;9;FixedIncome;1233780.00;36038.000;9211.000
20;MRLretirement19;retirement for client 43;2016-02-12 20:57:15;25913592.00;74370.000;NULL;43;2;Strategy6;9282440.00;44309.000;88784.000
21;XFIretirement20;retirement for client 10;2016-02-12 20:57:15;76590368.00;1115.000;NULL;10;8;AssetAlloc;5838701.00;44166.000;191175.000
22;MRGgrowth21;growth for client 38;2016-02-12 20:57:15;78048862.00;99843.000;NULL;38;0;Strategy6;8998518.00;16191.000;115354.000
23;WCVsavings22;savings for client 7;2016-02-12 20:57:15;48425834.00;37133.000;NULL;7;1;FIDynamic;4237866.00;99570.000;42146.000
24;WCVretirement23;retirement for client 35;2016-02-12 20:57:15;51778581.00;12809.000;NULL;35;7;Strategy8;5420972.00;81380.000;185354.000
25;UBSgrowth24;growth for client 49;2016-02-12 20:57:15;44350423.00;36875.000;NULL;49;1;Strategy3;2837351.00;16621.000;147814.000
26;UBSgrowth25;growth for client 21;2016-02-12 20:57:15;69810361.00;73249.000;NULL;21;8;Strategy7;5092544.00;34263.000;147610.000
27;WCVaccount26;account for client 15;2016-02-12 20:57:15;88655390.00;43094.000;NULL;15;7;Strategy9;4875944.00;91862.000;100828.000
28;XFIgrowth27;growth for client 47;2016-02-12 20:57:15;45937210.00;53407.000;NULL;47;7;Strategy3;915388.00;32266.000;144165.000
29;XFIretirement28;retirement for client 1;2016-02-12 20:57:15;56004499.00;37417.000;NULL;1;2;Strategy3;1524274.00;95867.000;34269.000
30;MRLsavings29;savings for client 8;2016-02-12 20:57:15;957363.00;11443.000;NULL;8;6;AssetAlloc;6311248.00;1371.000;80202.000
31;XFIaccount30;account for client 44;2016-02-12 20:57:15;51615965.00;82560.000;NULL;44;3;PRDT-Product2;5827450.00;45574.000;100371.000
32;UBSsavings31;savings for client 33;2016-02-12 20:57:15;55634620.00;22613.000;NULL;33;6;E2;9435278.00;32257.000;116498.000
33;MRGgrowth32;growth for client 43;2016-02-12 20:57:15;24786768.00;15629.000;NULL;43;0;Strategy5;5652433.00;54013.000;33951.000
34;WCVgrowth33;growth for client 11;2016-02-12 20:57:15;60280984.00;61113.000;NULL;11;5;E2;2485543.00;99165.000;122368.000
35;MRGretirement34;retirement for client 15;2016-02-12 20:57:15;47726442.00;48005.000;NULL;15;7;Strategy4;6807365.00;58708.000;185687.000
36;XFIsavings35;savings for client 27;2016-02-12 20:57:15;94105414.00;18151.000;NULL;27;7;Strategy8;6472499.00;82972.000;36538.000
37;MRLaccount36;account for client 3;2016-02-12 20:57:15;75770189.00;86816.000;NULL;3;5;Strategy7;4362635.00;46332.000;47989.000
38;MRLaccount37;account for client 6;2016-02-12 20:57:15;42508966.00;74789.000;NULL;6;7;Strategy9;3617321.00;62672.000;123549.000
39;XFIgrowth38;growth for client 18;2016-02-12 20:57:15;65331926.00;76656.000;NULL;18;6;Strategy1;7034926.00;62205.000;112563.000
40;XFIaccount39;account for client 46;2016-02-12 20:57:15;19719391.00;87264.000;NULL;46;3;Strategy1;7782862.00;69501.000;107340.000
41;UBSsavings40;savings for client 26;2016-02-12 20:57:15;75162684.00;65942.000;NULL;26;3;PRDT-Product2;7479089.00;47910.000;199852.000
42;WCVsavings41;savings for client 48;2016-02-12 20:57:15;82864370.00;36995.000;NULL;48;6;E1;9558182.00;60129.000;4091.000
43;XFIsavings42;savings for client 21;2016-02-12 20:57:15;88609204.00;27295.000;NULL;21;3;FI;9843422.00;93093.000;1354.000
44;XFIaccount43;account for client 38;2016-02-12 20:57:15;95662977.00;11042.000;NULL;38;7;PRDT-Product2;2096277.00;62438.000;106757.000
45;MRGsavings44;savings for client 44;2016-02-12 20:57:15;62144133.00;91464.000;NULL;44;2;FI;5658627.00;38989.000;133802.000
46;MRGaccount45;account for client 45;2016-02-12 20:57:15;21528153.00;28929.000;NULL;45;8;PRDT-Product2;8671033.00;65062.000;25667.000
47;WCVretirement46;retirement for client 12;2016-02-12 20:57:15;99149155.00;60490.000;NULL;12;6;FIDynamic;3727578.00;50540.000;98216.000
48;MRLaccount47;account for client 20;2016-02-12 20:57:15;42148308.00;12390.000;NULL;20;6;Strategy4;739842.00;30055.000;73476.000
49;MRLgrowth48;growth for client 25;2016-02-12 20:57:15;81832777.00;99393.000;NULL;25;2;Strategy9;4416657.00;880.000;22011.000
50;MRLsavings49;savings for client 44;2016-02-12 20:57:15;37955977.00;8545.000;NULL;44;9;Strategy2;4398126.00;44895.000;31858.000
51;UBSsavings50;savings for client 46;2016-02-12 20:57:15;13620295.00;41962.000;NULL;46;4;E2;3017932.00;91217.000;191390.000
52;XFIgrowth51;growth for client 26;2016-02-12 20:57:15;21489105.00;57618.000;NULL;26;9;Strategy4;5602570.00;25830.000;164772.000
53;UBSaccount52;account for client 2;2016-02-12 20:57:15;52625922.00;85068.000;NULL;2;9;Strategy8;2653538.00;76584.000;85068.000
54;MRLsavings53;savings for client 4;2016-02-12 20:57:15;3180224.00;69416.000;NULL;4;8;PRDT-Product2;9638061.00;7838.000;28312.000
55;WCVsavings54;savings for client 15;2016-02-12 20:57:15;81437094.00;34419.000;NULL;15;9;Strategy8;8436539.00;81243.000;26554.000
56;UBSsavings55;savings for client 28;2016-02-12 20:57:15;36054051.00;10748.000;NULL;28;3;Strategy2;4129988.00;85223.000;83196.000
57;MRLaccount56;account for client 46;2016-02-12 20:57:15;34612138.00;75980.000;NULL;46;9;Strategy7;4811088.00;75306.000;162941.000
58;MRLgrowth57;growth for client 25;2016-02-12 20:57:15;9407316.00;8381.000;NULL;25;3;PRDT-Product2;5042671.00;63902.000;32396.000
59;MRLsavings58;savings for client 38;2016-02-12 20:57:15;62953262.00;92941.000;NULL;38;6;Strategy3;6808959.00;48159.000;17513.000
60;MRGsavings59;savings for client 26;2016-02-12 20:57:15;74371048.00;28886.000;NULL;26;4;E1;7510044.00;77614.000;184561.000
61;XFIaccount60;account for client 38;2016-02-12 20:57:15;4209880.00;19405.000;NULL;38;4;FI;9265379.00;70808.000;24798.000
62;MRGaccount61;account for client 18;2016-02-12 20:57:15;76098185.00;92680.000;NULL;18;0;FI;4170848.00;86248.000;150085.000
63;MRLretirement62;retirement for client 17;2016-02-12 20:57:15;31147404.00;29202.000;NULL;17;1;Strategy2;827107.00;77206.000;67956.000
64;MRGsavings63;savings for client 8;2016-02-12 20:57:15;45570039.00;3344.000;NULL;8;2;Strategy8;7653307.00;97472.000;147209.000
65;WCVretirement64;retirement for client 38;2016-02-12 20:57:15;70170462.00;49169.000;NULL;38;5;Strategy5;4616067.00;45777.000;84590.000
66;UBSgrowth65;growth for client 12;2016-02-12 20:57:15;48850462.00;7693.000;NULL;12;8;FI;2239809.00;46034.000;37213.000
67;MRGaccount66;account for client 4;2016-02-12 20:57:15;26098388.00;34134.000;NULL;4;4;PRDT-Product2;4817036.00;74160.000;24479.000
68;XFIaccount67;account for client 10;2016-02-12 20:57:15;34070400.00;46319.000;NULL;10;0;Strategy9;3595874.00;13316.000;85248.000
69;UBSgrowth68;growth for client 27;2016-02-12 20:57:15;73088007.00;62729.000;NULL;27;3;FI;188577.00;97964.000;85421.000
70;WCVaccount69;account for client 19;2016-02-12 20:57:15;92346831.00;49154.000;NULL;19;5;Strategy8;4204962.00;89286.000;21887.000
71;XFIaccount70;account for client 44;2016-02-12 20:57:15;11428478.00;40921.000;NULL;44;8;Strategy9;7064844.00;73350.000;149728.000
72;MRLgrowth71;growth for client 11;2016-02-12 20:57:15;96190413.00;81262.000;NULL;11;3;Strategy8;9320610.00;18737.000;8620.000
73;WCVgrowth72;growth for client 25;2016-02-12 20:57:15;4930941.00;71234.000;NULL;25;5;Strategy9;2544955.00;85219.000;15053.000
74;MRLaccount73;account for client 16;2016-02-12 20:57:15;72288458.00;37106.000;NULL;16;4;FI;3939851.00;38295.000;162179.000
75;UBSretirement74;retirement for client 16;2016-02-12 20:57:15;34498683.00;10388.000;NULL;16;2;FIDynamic;2981855.00;32095.000;66448.000
76;XFIsavings75;savings for client 6;2016-02-12 20:57:15;44955217.00;55956.000;NULL;6;8;E1;9278369.00;3893.000;76797.000
77;WCVaccount76;account for client 14;2016-02-12 20:57:15;72856695.00;66335.000;NULL;14;2;Strategy6;6063300.00;96606.000;43472.000
78;UBSsavings77;savings for client 9;2016-02-12 20:57:15;95272330.00;94115.000;NULL;9;4;EquityIndex;901502.00;19057.000;49321.000
79;MRGsavings78;savings for client 48;2016-02-12 20:57:15;73447944.00;30549.000;NULL;48;8;Strategy7;9087449.00;10798.000;48406.000
80;MRLsavings79;savings for client 34;2016-02-12 20:57:15;10857146.00;78087.000;NULL;34;0;FixedIncome;7165442.00;84834.000;11287.000
81;MRLaccount80;account for client 38;2016-02-12 20:57:15;37068856.00;42438.000;NULL;38;9;Strategy7;9017579.00;66993.000;45825.000
82;UBSretirement81;retirement for client 23;2016-02-12 20:57:15;70995112.00;10609.000;NULL;23;5;FI;8846613.00;71372.000;128172.000
83;WCVretirement82;retirement for client 18;2016-02-12 20:57:15;75923118.00;85873.000;NULL;18;2;FIDynamic;6707708.00;84162.000;90635.000
84;XFIretirement83;retirement for client 13;2016-02-12 20:57:16;63623632.00;93358.000;NULL;13;7;FI;7744421.00;6448.000;197270.000
85;XFIretirement84;retirement for client 23;2016-02-12 20:57:16;12141592.00;30488.000;NULL;23;4;AssetAlloc;8474823.00;9031.000;188020.000
86;XFIretirement85;retirement for client 27;2016-02-12 20:57:16;91837241.00;43168.000;NULL;27;6;Strategy4;367016.00;17911.000;106928.000
87;XFIgrowth86;growth for client 41;2016-02-12 20:57:16;88028236.00;80504.000;NULL;41;4;PRDT-Product2;1918791.00;16555.000;170624.000
